Feedback_ID,Feedback_Text
F00400,The stock screener is user-friendly. is exactly what I was looking for.
F07090,Fix the slow loading times immediately!
F09697,The UI is not intuitive at all. It's hard to find basic functions and the constant fund withdrawal issues makes it even worse.
F05546,The latest update is full of bugs. The incorrect data display is making the app unusable.
F08322,It's impossible to get a human on the line for support. My problem with chart glitches is still unresolved after a week.
F08354,The UI is not intuitive at all. It's hard to find basic functions and the constant slow loading times makes it even worse.
F03452,The portfolio tracking feature is very responsive. has really improved my experience.
F08344,Very disappointed with the performance. It's extremely frustrating. because of high latency.
F07994,The UI is not intuitive at all. It's hard to find basic functions and the constant order execution delays makes it even worse.
F08652,Fix the login problems immediately!
F06655,I'm constantly facing frequent crashes. It's extremely frustrating.
F08233,The app has login problems.
F04010,"Finally, a trading app with a clean and excellent interface. Highly recommended!"
F05385,The support team could not resolve my issue after multiple calls. My problem with slow loading times is still unresolved after a week.
F05183,I'm constantly facing frequent crashes. It needs an urgent fix.
F08751,I'm constantly facing high latency. This makes trading very difficult.
F00183,Great app! Very excellent.
F03203,"Using Angel One has been a great experience. Specifically, the the ipo application process has really improved my experience."
F04177,The portfolio tracking feature is incredibly smooth. has really improved my experience.
F07547,"Terrible user interface, very hard to navigate."
F05720,Very disappointed with the performance. The app is completely unreliable. because of slow loading times.
F06446,Very disappointed with the performance. It's extremely frustrating. because of order execution delays.
F04925,"Using Angel One has been a great experience. Specifically, the the app's user interface makes trading so much easier."
F02602,The portfolio tracking feature is top-notch. is exactly what I was looking for.
F02145,Great app! Very excellent.
F03487,The app's user interface is fantastic.
F04706,The app's user interface is seamless. is a game-changer for me.
F05635,Fix the frequent crashes immediately!
F00283,Great app! Very intuitive.
F07096,Very disappointed with the performance. The app is completely unreliable. because of incorrect data display.
F03397,The watchlist feature is fantastic.
F03746,Great app! Very reliable.
F07497,The app has frequent crashes.
F06561,"Terrible user interface, very hard to navigate."
F00069,The charting tools is seamless. works flawlessly.
F03553,The stock screener is fantastic.
F00570,"Finally, a trading app with a clean and seamless interface. Highly recommended!"
F02986,Love the new update! So much better.
F03062,The charting tools is top-notch. works flawlessly.
F04550,Excellent platform for trading.
F03396,"Using Angel One has been a great experience. Specifically, the the overall performance works flawlessly."
F01672,"Using Angel One has been a great experience. Specifically, the the portfolio tracking feature is a game-changer for me."
F00198,Great app! Very very responsive.
F09475,Very disappointed with the performance. It's extremely frustrating. because of chart glitches.
F09301,Very disappointed with the performance. I lost a trading opportunity. because of notification bugs.
F01392,"Finally, a trading app with a clean and incredibly smooth interface. Highly recommended!"
F00812,Great app! Very top-notch.
F03964,Great app! Very incredibly smooth.
F08310,I'm constantly facing fund withdrawal issues. This makes trading very difficult.
F04829,Love the new update! So much better.
F07987,Customer support is unresponsive and unhelpful. My problem with login problems is still unresolved after a week.
F05865,The app has notification bugs.
F07136,Fix the slow loading times immediately!
F05880,The UI is not intuitive at all. It's hard to find basic functions and the constant fund withdrawal issues makes it even worse.
F08150,"Terrible user interface, very hard to navigate."
F09731,"Terrible user interface, very hard to navigate."
F08924,The latest update is full of bugs. The login problems is making the app unusable.
F05406,The latest update is full of bugs. The high latency is making the app unusable.
F00464,GTT orders is fast. is a game-changer for me.
F05275,Fix the chart glitches immediately!
F08538,I'm constantly facing chart glitches. This makes trading very difficult.
F00145,The portfolio tracking feature is fantastic.
F01727,Excellent platform for trading.
F05910,The latest update is full of bugs. The fund withdrawal issues is making the app unusable.
F08803,The app has order execution delays.
F00562,Great app! Very excellent.
F00030,Excellent platform for trading.
F05716,The UI is not intuitive at all. It's hard to find basic functions and the constant notification bugs makes it even worse.
F00886,Great app! Very seamless.
F06062,The latest update is full of bugs. The incorrect data display is making the app unusable.
F08736,The UI is not intuitive at all. It's hard to find basic functions and the constant chart glitches makes it even worse.
F00366,The charting tools is top-notch. is a game-changer for me.
F08912,I've been waiting for days to get a reply on my ticket. My problem with high latency is still unresolved after a week.
F07013,The latest update is full of bugs. The notification bugs is making the app unusable.
F05486,The UI is not intuitive at all. It's hard to find basic functions and the constant slow loading times makes it even worse.
F02737,Excellent platform for trading.
F05754,I'm constantly facing a confusing UI. This makes trading very difficult.
F06900,"Terrible user interface, very hard to navigate."
F07671,Very disappointed with the performance. It needs an urgent fix. because of slow loading times.
F04879,"I'm really impressed with how very responsive the order placement is. Keep up the great work, Angel One!"
F02929,"Finally, a trading app with a clean and reliable interface. Highly recommended!"
F08136,"Terrible user interface, very hard to navigate."
F09477,"Terrible user interface, very hard to navigate."
F06608,The latest update is full of bugs. The slow loading times is making the app unusable.
F02113,"Using Angel One has been a great experience. Specifically, the the overall performance is a game-changer for me."
F06875,The support team could not resolve my issue after multiple calls. My problem with a confusing UI is still unresolved after a week.
F06719,I'm constantly facing login problems. I lost a trading opportunity.
F01772,The app's user interface is fantastic.
F05096,Fix the a confusing UI immediately!
F03655,"I'm really impressed with how very responsive the gtt orders is. Keep up the great work, Angel One!"
F03380,The stock screener is fantastic.
F05850,"Terrible user interface, very hard to navigate."
F08050,Fix the order execution delays immediately!
F08509,I'm constantly facing chart glitches. I lost a trading opportunity.
F02462,The website's layout is fast. works flawlessly.
F04846,Great app! Very incredibly smooth.
F01750,The stock screener is fantastic.
F07822,The UI is not intuitive at all. It's hard to find basic functions and the constant fund withdrawal issues makes it even worse.
F05344,The app has notification bugs.
F08808,The UI is not intuitive at all. It's hard to find basic functions and the constant high latency makes it even worse.
F02290,The app's user interface is top-notch. works flawlessly.
F03777,The overall performance is fantastic.
F07446,I'm constantly facing frequent crashes. I'm considering switching to another broker.
F03110,Excellent platform for trading.
F03137,"I'm really impressed with how user-friendly the gtt orders is. Keep up the great work, Angel One!"
F09045,Fix the high latency immediately!
F07959,The latest update is full of bugs. The frequent crashes is making the app unusable.
F07699,Fix the chart glitches immediately!
F01320,"I'm really impressed with how top-notch the gtt orders is. Keep up the great work, Angel One!"
F09347,The UI is not intuitive at all. It's hard to find basic functions and the constant incorrect data display makes it even worse.
F03324,"Finally, a trading app with a clean and reliable interface. Highly recommended!"
F01662,"I'm really impressed with how very responsive the order placement is. Keep up the great work, Angel One!"
F01334,Love the new update! So much better.
F00914,The website's layout is excellent. is a game-changer for me.
F06164,Fix the notification bugs immediately!
F07300,The UI is not intuitive at all. It's hard to find basic functions and the constant fund withdrawal issues makes it even worse.
F09509,The app has slow loading times.
F06813,The latest update is full of bugs. The chart glitches is making the app unusable.
F07831,Very disappointed with the performance. It's extremely frustrating. because of fund withdrawal issues.
F06243,Customer support is unresponsive and unhelpful. My problem with a confusing UI is still unresolved after a week.
F05874,The UI is not intuitive at all. It's hard to find basic functions and the constant high latency makes it even worse.
F04234,The stock screener is intuitive. is a game-changer for me.
F00082,Excellent platform for trading.
F06273,The app has a confusing UI.
F03323,"I'm really impressed with how fast the the ipo application process is. Keep up the great work, Angel One!"
F08510,The UI is not intuitive at all. It's hard to find basic functions and the constant high latency makes it even worse.
F01199,Love the new update! So much better.
F03729,The stock screener is top-notch. works flawlessly.
F09547,I'm constantly facing incorrect data display. It's extremely frustrating.
F07443,"Terrible user interface, very hard to navigate."
F09065,The UI is not intuitive at all. It's hard to find basic functions and the constant incorrect data display makes it even worse.
F04584,"Finally, a trading app with a clean and excellent interface. Highly recommended!"
F03990,"I'm really impressed with how seamless the the app's user interface is. Keep up the great work, Angel One!"
F05927,The UI is not intuitive at all. It's hard to find basic functions and the constant chart glitches makes it even worse.
F07968,I'm constantly facing notification bugs. I'm considering switching to another broker.
F07122,Fix the notification bugs immediately!
F03367,The charting tools is top-notch. works flawlessly.
F01944,"Finally, a trading app with a clean and fast interface. Highly recommended!"
F08827,Very disappointed with the performance. This makes trading very difficult. because of login problems.
F07088,Fix the notification bugs immediately!
F04239,"I'm really impressed with how fast the the watchlist feature is. Keep up the great work, Angel One!"
F09014,The UI is not intuitive at all. It's hard to find basic functions and the constant notification bugs makes it even worse.
F07105,The app has fund withdrawal issues.
F05806,The UI is not intuitive at all. It's hard to find basic functions and the constant a confusing UI makes it even worse.
F02417,"I'm really impressed with how fast the the watchlist feature is. Keep up the great work, Angel One!"
F01945,"Finally, a trading app with a clean and fast interface. Highly recommended!"
F09215,"Terrible user interface, very hard to navigate."
F08273,It's impossible to get a human on the line for support. My problem with chart glitches is still unresolved after a week.
F09097,The latest update is full of bugs. The fund withdrawal issues is making the app unusable.
F00568,The overall performance is user-friendly. is a game-changer for me.
F02907,Great app! Very excellent.
F00013,Excellent platform for trading.
F01124,The website's layout is fantastic.
F05531,The latest update is full of bugs. The fund withdrawal issues is making the app unusable.
F03905,Great app! Very fast.
F02108,"Using Angel One has been a great experience. Specifically, the gtt orders is exactly what I was looking for."
F01854,Excellent platform for trading.
F00997,Order placement is top-notch. is exactly what I was looking for.
F05690,I'm constantly facing incorrect data display. It's extremely frustrating.
F05968,The app has notification bugs.
F09824,I've been waiting for days to get a reply on my ticket. My problem with frequent crashes is still unresolved after a week.
F01325,Excellent platform for trading.
F07623,Fix the slow loading times immediately!
F08495,Fix the login problems immediately!
F09851,Fix the login problems immediately!
F02255,Great app! Very excellent.
F07433,The app has fund withdrawal issues.
F08968,I've been waiting for days to get a reply on my ticket. My problem with incorrect data display is still unresolved after a week.
F05774,I'm constantly facing notification bugs. This makes trading very difficult.
F03643,Great app! Very user-friendly.
F08000,The UI is not intuitive at all. It's hard to find basic functions and the constant a confusing UI makes it even worse.
F05359,Fix the login problems immediately!
F07397,I'm constantly facing incorrect data display. I lost a trading opportunity.
F08796,The latest update is full of bugs. The fund withdrawal issues is making the app unusable.
F09810,The support team could not resolve my issue after multiple calls. My problem with login problems is still unresolved after a week.
F04374,Excellent platform for trading.
F06710,The support team could not resolve my issue after multiple calls. My problem with slow loading times is still unresolved after a week.
F09745,I'm constantly facing fund withdrawal issues. It needs an urgent fix.
F09864,"Terrible user interface, very hard to navigate."
F04296,The overall performance is seamless. makes trading so much easier.
F07562,The latest update is full of bugs. The incorrect data display is making the app unusable.
F08040,Fix the chart glitches immediately!
F01802,"I'm really impressed with how top-notch the the portfolio tracking feature is. Keep up the great work, Angel One!"
F08898,I've been waiting for days to get a reply on my ticket. My problem with login problems is still unresolved after a week.
F06854,Fix the high latency immediately!
F02165,The portfolio tracking feature is fantastic.
F04381,"I'm really impressed with how excellent the gtt orders is. Keep up the great work, Angel One!"
F07827,Fix the slow loading times immediately!
F09338,The latest update is full of bugs. The login problems is making the app unusable.
F09069,Very disappointed with the performance. It's extremely frustrating. because of slow loading times.
F09535,Fix the slow loading times immediately!
F04508,The portfolio tracking feature is reliable. is exactly what I was looking for.
F02935,Excellent platform for trading.
F06583,Very disappointed with the performance. It needs an urgent fix. because of incorrect data display.
F00116,Love the new update! So much better.
F09689,The UI is not intuitive at all. It's hard to find basic functions and the constant order execution delays makes it even worse.
F02999,The app's user interface is top-notch. has really improved my experience.
F01654,The portfolio tracking feature is intuitive. is exactly what I was looking for.
F08432,The app has frequent crashes.
F00917,"I'm really impressed with how top-notch the the ipo application process is. Keep up the great work, Angel One!"
F07491,Very disappointed with the performance. It's extremely frustrating. because of slow loading times.
F04980,Great app! Very incredibly smooth.
F05958,Fix the high latency immediately!
F02899,Love the new update! So much better.
F04111,Order placement is fast. is exactly what I was looking for.
F08672,The UI is not intuitive at all. It's hard to find basic functions and the constant notification bugs makes it even worse.
F02545,Order placement is fantastic.
F02614,The stock screener is reliable. is a game-changer for me.
F08349,Customer support is unresponsive and unhelpful. My problem with chart glitches is still unresolved after a week.
F07978,The UI is not intuitive at all. It's hard to find basic functions and the constant fund withdrawal issues makes it even worse.
F00031,Order placement is user-friendly. has really improved my experience.
F03761,Love the new update! So much better.
F04427,The app's user interface is fantastic.
F04237,"Finally, a trading app with a clean and intuitive interface. Highly recommended!"
F06230,I've been waiting for days to get a reply on my ticket. My problem with frequent crashes is still unresolved after a week.
F01204,Great app! Very seamless.
F03353,The charting tools is fast. is a game-changer for me.
F09497,The app has notification bugs.
F09286,Fix the frequent crashes immediately!
F07746,The app has high latency.
F07367,Fix the high latency immediately!
F04620,Excellent platform for trading.
F00566,The charting tools is fantastic.
F06751,The UI is not intuitive at all. It's hard to find basic functions and the constant a confusing UI makes it even worse.
F09300,"Terrible user interface, very hard to navigate."
F00391,Great app! Very reliable.
F00716,"Using Angel One has been a great experience. Specifically, the the stock screener works flawlessly."
F05781,I'm constantly facing high latency. I lost a trading opportunity.
F01713,"Using Angel One has been a great experience. Specifically, the the charting tools is a game-changer for me."
F08745,"Terrible user interface, very hard to navigate."
F02574,Love the new update! So much better.
F03850,"Finally, a trading app with a clean and user-friendly interface. Highly recommended!"
F07143,The app has high latency.
F09140,Fix the a confusing UI immediately!
F05941,I'm constantly facing login problems. It needs an urgent fix.
F00231,Love the new update! So much better.
F07863,The app has order execution delays.
F00018,Love the new update! So much better.
F09963,"Terrible user interface, very hard to navigate."
F05902,Fix the high latency immediately!
F09183,The latest update is full of bugs. The a confusing ui is making the app unusable.
F08702,The latest update is full of bugs. The login problems is making the app unusable.
F08275,I've been waiting for days to get a reply on my ticket. My problem with login problems is still unresolved after a week.
F01999,"I'm really impressed with how incredibly smooth the the watchlist feature is. Keep up the great work, Angel One!"
F02818,Excellent platform for trading.
F03764,The IPO application process is excellent. is a game-changer for me.
F03016,"I'm really impressed with how intuitive the the charting tools is. Keep up the great work, Angel One!"
F05831,Very disappointed with the performance. I'm considering switching to another broker. because of order execution delays.
F07410,The UI is not intuitive at all. It's hard to find basic functions and the constant fund withdrawal issues makes it even worse.
F08862,It's impossible to get a human on the line for support. My problem with slow loading times is still unresolved after a week.
F06468,The latest update is full of bugs. The chart glitches is making the app unusable.
F00432,"Using Angel One has been a great experience. Specifically, the order placement is exactly what I was looking for."
F08515,"Terrible user interface, very hard to navigate."
F01524,The portfolio tracking feature is fast. makes trading so much easier.
F00395,"Finally, a trading app with a clean and top-notch interface. Highly recommended!"
F04822,"Using Angel One has been a great experience. Specifically, the the charting tools is a game-changer for me."
F01428,Great app! Very fast.
F07253,I'm constantly facing a confusing UI. It needs an urgent fix.
F02581,"Finally, a trading app with a clean and top-notch interface. Highly recommended!"
F05964,"Terrible user interface, very hard to navigate."
F09089,Fix the incorrect data display immediately!
F07128,I'm constantly facing high latency. I'm considering switching to another broker.
F08784,The app has slow loading times.
F00341,"I'm really impressed with how intuitive the gtt orders is. Keep up the great work, Angel One!"
F04079,The portfolio tracking feature is fantastic.
F09060,The UI is not intuitive at all. It's hard to find basic functions and the constant a confusing UI makes it even worse.
F08138,The app has notification bugs.
F02042,Excellent platform for trading.
F07684,Fix the login problems immediately!
F06840,Fix the frequent crashes immediately!
F08386,I'm constantly facing order execution delays. The app is completely unreliable.
F04283,Love the new update! So much better.
F08489,The UI is not intuitive at all. It's hard to find basic functions and the constant incorrect data display makes it even worse.
F05863,It's impossible to get a human on the line for support. My problem with a confusing UI is still unresolved after a week.
F07610,I'm constantly facing order execution delays. I'm considering switching to another broker.
F04749,"Finally, a trading app with a clean and seamless interface. Highly recommended!"
F07525,The UI is not intuitive at all. It's hard to find basic functions and the constant a confusing UI makes it even worse.
F09131,"Terrible user interface, very hard to navigate."
F09362,Very disappointed with the performance. It needs an urgent fix. because of slow loading times.
F07216,Fix the incorrect data display immediately!
F07172,Very disappointed with the performance. It needs an urgent fix. because of fund withdrawal issues.
F08004,The UI is not intuitive at all. It's hard to find basic functions and the constant incorrect data display makes it even worse.
F08754,The latest update is full of bugs. The a confusing ui is making the app unusable.
F06116,Fix the login problems immediately!
F00600,"Finally, a trading app with a clean and intuitive interface. Highly recommended!"
F06958,I've been waiting for days to get a reply on my ticket. My problem with fund withdrawal issues is still unresolved after a week.
F05445,Very disappointed with the performance. I'm considering switching to another broker. because of frequent crashes.
F06985,The latest update is full of bugs. The fund withdrawal issues is making the app unusable.
F06160,"Terrible user interface, very hard to navigate."
F09499,The UI is not intuitive at all. It's hard to find basic functions and the constant chart glitches makes it even worse.
F06385,I'm constantly facing order execution delays. I'm considering switching to another broker.
F09190,The latest update is full of bugs. The notification bugs is making the app unusable.
F08201,The UI is not intuitive at all. It's hard to find basic functions and the constant a confusing UI makes it even worse.
F07284,I've been waiting for days to get a reply on my ticket. My problem with high latency is still unresolved after a week.
F03478,Great app! Very intuitive.
F07005,I'm constantly facing notification bugs. I lost a trading opportunity.
F06623,"Terrible user interface, very hard to navigate."
F02379,"Finally, a trading app with a clean and intuitive interface. Highly recommended!"
F09652,Fix the notification bugs immediately!
F03251,"Using Angel One has been a great experience. Specifically, the the app's user interface is exactly what I was looking for."
F04023,The stock screener is fantastic.
F04556,"Finally, a trading app with a clean and very responsive interface. Highly recommended!"
F06441,Fix the order execution delays immediately!
F08578,The support team could not resolve my issue after multiple calls. My problem with frequent crashes is still unresolved after a week.
F00788,Excellent platform for trading.
F02738,"Finally, a trading app with a clean and fast interface. Highly recommended!"
F04956,"I'm really impressed with how top-notch the the watchlist feature is. Keep up the great work, Angel One!"
F09714,Very disappointed with the performance. This makes trading very difficult. because of a confusing UI.
F00274,"Finally, a trading app with a clean and intuitive interface. Highly recommended!"
F09537,Fix the notification bugs immediately!
F03464,Excellent platform for trading.
F05131,I'm constantly facing fund withdrawal issues. It needs an urgent fix.
F02253,Great app! Very top-notch.
F06714,Customer support is unresponsive and unhelpful. My problem with notification bugs is still unresolved after a week.
F00543,Love the new update! So much better.
F03352,GTT orders is fantastic.
F03099,The stock screener is fantastic.
F04432,"Using Angel One has been a great experience. Specifically, the the portfolio tracking feature is a game-changer for me."
F03309,"Using Angel One has been a great experience. Specifically, the the ipo application process is a game-changer for me."
F00482,"I'm really impressed with how user-friendly the the ipo application process is. Keep up the great work, Angel One!"
F00492,Order placement is reliable. makes trading so much easier.
F06351,The app has slow loading times.
F06637,The UI is not intuitive at all. It's hard to find basic functions and the constant incorrect data display makes it even worse.
F01470,"Finally, a trading app with a clean and fast interface. Highly recommended!"
F06600,Fix the order execution delays immediately!
F07607,I'm constantly facing a confusing UI. I'm considering switching to another broker.
F05908,It's impossible to get a human on the line for support. My problem with fund withdrawal issues is still unresolved after a week.
F06252,The latest update is full of bugs. The chart glitches is making the app unusable.
F00197,"Using Angel One has been a great experience. Specifically, the gtt orders is a game-changer for me."
F05399,Fix the order execution delays immediately!
F09685,The app has frequent crashes.
F04110,"I'm really impressed with how user-friendly the the watchlist feature is. Keep up the great work, Angel One!"
F04732,Excellent platform for trading.
F00494,"Using Angel One has been a great experience. Specifically, the the overall performance is exactly what I was looking for."
F05186,Very disappointed with the performance. It needs an urgent fix. because of order execution delays.
F01300,The portfolio tracking feature is fantastic.
F09388,It's impossible to get a human on the line for support. My problem with notification bugs is still unresolved after a week.
F07450,The support team could not resolve my issue after multiple calls. My problem with fund withdrawal issues is still unresolved after a week.
F00499,"Using Angel One has been a great experience. Specifically, the the stock screener is a game-changer for me."
F00326,Great app! Very very responsive.
F09937,It's impossible to get a human on the line for support. My problem with login problems is still unresolved after a week.
F06025,It's impossible to get a human on the line for support. My problem with slow loading times is still unresolved after a week.
F04090,"Finally, a trading app with a clean and fast interface. Highly recommended!"
F03031,Excellent platform for trading.
F08595,The latest update is full of bugs. The notification bugs is making the app unusable.
F00205,The IPO application process is very responsive. is exactly what I was looking for.
F04227,The stock screener is incredibly smooth. is a game-changer for me.
F03609,The IPO application process is fantastic.
F07834,I've been waiting for days to get a reply on my ticket. My problem with login problems is still unresolved after a week.
F06933,I'm constantly facing incorrect data display. The app is completely unreliable.
F01808,The stock screener is top-notch. has really improved my experience.
F03846,Great app! Very excellent.
F07578,The UI is not intuitive at all. It's hard to find basic functions and the constant incorrect data display makes it even worse.
F08895,The app has notification bugs.
F01708,The overall performance is fantastic.
F04681,The portfolio tracking feature is incredibly smooth. is a game-changer for me.
F03218,The watchlist feature is reliable. makes trading so much easier.
F04109,Great app! Very intuitive.
F01378,Great app! Very incredibly smooth.
F09254,The app has chart glitches.
F06959,The app has order execution delays.
F04225,The charting tools is very responsive. has really improved my experience.
F07461,The support team could not resolve my issue after multiple calls. My problem with high latency is still unresolved after a week.
F09532,It's impossible to get a human on the line for support. My problem with chart glitches is still unresolved after a week.
F02320,The portfolio tracking feature is user-friendly. works flawlessly.
F08153,The UI is not intuitive at all. It's hard to find basic functions and the constant frequent crashes makes it even worse.
F05600,Very disappointed with the performance. This makes trading very difficult. because of slow loading times.
F06798,The app has incorrect data display.
F04801,Love the new update! So much better.
F06910,Very disappointed with the performance. It's extremely frustrating. because of a confusing UI.
F09549,"Terrible user interface, very hard to navigate."
F09938,Very disappointed with the performance. It needs an urgent fix. because of login problems.
F05588,The app has frequent crashes.
F02782,Excellent platform for trading.
F02519,Great app! Very incredibly smooth.
F09380,I'm constantly facing incorrect data display. It's extremely frustrating.
F06849,Customer support is unresponsive and unhelpful. My problem with incorrect data display is still unresolved after a week.
F09614,I'm constantly facing order execution delays. The app is completely unreliable.
F03915,"I'm really impressed with how excellent the order placement is. Keep up the great work, Angel One!"
F06731,The UI is not intuitive at all. It's hard to find basic functions and the constant login problems makes it even worse.
F01144,Love the new update! So much better.
F05135,Very disappointed with the performance. I lost a trading opportunity. because of slow loading times.
F07779,"Terrible user interface, very hard to navigate."
F02694,The website's layout is fast. is a game-changer for me.
F08735,I'm constantly facing frequent crashes. This makes trading very difficult.
F02851,"Finally, a trading app with a clean and top-notch interface. Highly recommended!"
F05172,The UI is not intuitive at all. It's hard to find basic functions and the constant login problems makes it even worse.
F07800,The latest update is full of bugs. The a confusing ui is making the app unusable.
F09397,"Terrible user interface, very hard to navigate."
F04018,"Using Angel One has been a great experience. Specifically, the the overall performance makes trading so much easier."
F00091,"Using Angel One has been a great experience. Specifically, the the watchlist feature works flawlessly."
F04539,Love the new update! So much better.
F03188,Excellent platform for trading.
F09371,The UI is not intuitive at all. It's hard to find basic functions and the constant frequent crashes makes it even worse.
F05868,I'm constantly facing frequent crashes. The app is completely unreliable.
F08911,The app has slow loading times.
F00155,The IPO application process is fantastic.
F02283,Love the new update! So much better.
F04253,The overall performance is fantastic.
F05761,"Terrible user interface, very hard to navigate."
F00071,GTT orders is seamless. makes trading so much easier.
F06968,"Terrible user interface, very hard to navigate."
F09135,Fix the order execution delays immediately!
F07264,Fix the notification bugs immediately!
F02684,The portfolio tracking feature is fantastic.
F00546,"I'm really impressed with how very responsive the the app's user interface is. Keep up the great work, Angel One!"
F08816,I'm constantly facing notification bugs. It needs an urgent fix.
F04635,Great app! Very incredibly smooth.
F05570,"Terrible user interface, very hard to navigate."
F00818,Excellent platform for trading.
F07553,Very disappointed with the performance. It's extremely frustrating. because of chart glitches.
F04702,"Using Angel One has been a great experience. Specifically, the the overall performance has really improved my experience."
F02643,Great app! Very reliable.
F02328,The stock screener is fantastic.
F02454,Love the new update! So much better.
F08857,The support team could not resolve my issue after multiple calls. My problem with notification bugs is still unresolved after a week.
F09967,The app has order execution delays.
F08747,I'm constantly facing slow loading times. This makes trading very difficult.
F06083,The latest update is full of bugs. The chart glitches is making the app unusable.
F04589,The overall performance is fantastic.
F06021,The app has high latency.
F04361,The IPO application process is fantastic.
F02246,The app's user interface is fantastic.
F01749,"I'm really impressed with how excellent the the website's layout is. Keep up the great work, Angel One!"
F09841,I'm constantly facing frequent crashes. It's extremely frustrating.
F07652,The app has fund withdrawal issues.
F00507,Love the new update! So much better.
F06974,The app has high latency.
F03938,Excellent platform for trading.
F03085,Great app! Very reliable.
F08473,The latest update is full of bugs. The slow loading times is making the app unusable.
F09956,Very disappointed with the performance. It's extremely frustrating. because of slow loading times.
F07083,The latest update is full of bugs. The high latency is making the app unusable.
F01633,Order placement is fantastic.
F06064,"Terrible user interface, very hard to navigate."
F05294,Fix the order execution delays immediately!
F08906,Very disappointed with the performance. I'm considering switching to another broker. because of a confusing UI.
F05618,I'm constantly facing notification bugs. It needs an urgent fix.
F09829,The app has fund withdrawal issues.
F06045,"Terrible user interface, very hard to navigate."
F05811,I'm constantly facing notification bugs. The app is completely unreliable.
F05735,The latest update is full of bugs. The notification bugs is making the app unusable.
F03560,Great app! Very excellent.
F00356,The website's layout is top-notch. has really improved my experience.
F02034,"Finally, a trading app with a clean and intuitive interface. Highly recommended!"
F04899,Love the new update! So much better.
F00512,"Finally, a trading app with a clean and very responsive interface. Highly recommended!"
F01468,Excellent platform for trading.
F05969,The UI is not intuitive at all. It's hard to find basic functions and the constant login problems makes it even worse.
F09117,Fix the fund withdrawal issues immediately!
F01561,Love the new update! So much better.
F03513,Love the new update! So much better.
F09120,The latest update is full of bugs. The a confusing ui is making the app unusable.
F03036,"Finally, a trading app with a clean and incredibly smooth interface. Highly recommended!"
F00620,"Using Angel One has been a great experience. Specifically, the order placement is a game-changer for me."
F06821,"Terrible user interface, very hard to navigate."
F06500,Very disappointed with the performance. I lost a trading opportunity. because of login problems.
F03675,Love the new update! So much better.
F01184,Love the new update! So much better.
F00800,"I'm really impressed with how excellent the gtt orders is. Keep up the great work, Angel One!"
F04797,Love the new update! So much better.
F09855,It's impossible to get a human on the line for support. My problem with chart glitches is still unresolved after a week.
F04072,"Finally, a trading app with a clean and intuitive interface. Highly recommended!"
F05351,The support team could not resolve my issue after multiple calls. My problem with order execution delays is still unresolved after a week.
F07883,The UI is not intuitive at all. It's hard to find basic functions and the constant order execution delays makes it even worse.
F09955,The UI is not intuitive at all. It's hard to find basic functions and the constant incorrect data display makes it even worse.
F00740,Great app! Very very responsive.
F05630,Fix the login problems immediately!
F06113,It's impossible to get a human on the line for support. My problem with login problems is still unresolved after a week.
F05004,I'm constantly facing chart glitches. I'm considering switching to another broker.
